tick,debris,inflammation,dopamine,neurons_healthy,neurons_compromised,neurons_apoptotic,neurons_ruptures,free_alpha,alpha_aggregate
1,0.100000,0.059748,0.870000,20,0,0,0,800,0
2,0.100000,0.041115,0.915500,20,0,0,0,800,0
3,0.100000,0.023974,0.945075,20,0,0,0,800,0
4,0.100000,0.008203,0.964299,20,0,0,0,800,0
5,0.100000,0.000000,0.976794,20,0,0,0,799,0
6,0.100000,0.000000,0.984916,20,0,0,0,798,0
7,0.100000,0.000000,0.990196,20,0,0,0,798,0
8,0.100000,0.000000,0.993627,20,0,0,0,798,0
9,0.100000,0.000000,0.995858,20,0,0,0,798,0
10,0.100000,0.000000,0.997307,20,0,0,0,798,0
11,0.100000,0.000000,0.998250,20,0,0,0,798,0
12,0.100000,0.000000,0.998862,20,0,0,0,793,0
13,0.100000,0.000000,0.999261,20,0,0,0,791,0
14,0.100000,0.000000,0.999519,20,0,0,0,791,0
15,0.100000,0.000000,0.999688,20,0,0,0,790,0
16,0.100000,0.000000,0.999797,20,0,0,0,789,0
17,0.100000,0.000000,0.999868,20,0,0,0,787,0
18,0.100000,0.000000,0.999914,20,0,0,0,781,1
19,0.100000,0.000000,0.999944,20,0,0,0,779,1
20,0.100000,0.000000,0.999964,20,0,0,0,777,1
21,0.100000,0.000000,0.999976,20,0,0,0,775,1
22,0.100000,0.000000,0.988610,20,0,0,0,772,1
23,0.100000,0.000000,0.981221,20,0,0,0,769,1
24,0.100000,0.000000,0.976419,20,0,0,0,768,1
25,0.100000,0.000000,0.967172,20,0,0,0,763,1
26,0.100000,0.000000,0.961162,20,0,0,0,759,1
27,0.100000,0.000000,0.945880,20,0,0,0,758,1
28,0.100000,0.000000,0.935947,20,0,0,0,752,1
29,0.100000,0.000000,0.929491,20,0,0,0,747,1
30,0.100000,0.000000,0.902544,20,0,0,0,743,1
31,0.100000,0.000000,0.907779,20,0,0,0,739,1
32,0.100000,0.000000,0.905056,20,0,0,0,732,1
33,0.100000,0.000000,0.898036,20,0,0,0,728,1
34,0.100000,0.000000,0.869849,20,0,0,0,728,1
35,0.100000,0.000000,0.834027,20,0,0,0,724,1
36,0.100000,0.000000,0.839617,20,0,0,0,717,1
37,0.100000,0.000000,0.831876,20,0,0,0,712,2
38,0.100000,0.000000,0.820720,20,0,0,0,711,2
39,0.100000,0.000000,0.822961,19,1,0,0,709,2
40,0.100000,0.000000,0.814925,19,1,0,0,703,2
41,0.100000,0.000000,0.798326,19,1,0,0,695,2
42,0.100000,0.000000,0.779662,18,2,0,0,690,2
43,0.100000,0.000000,0.773655,18,2,0,0,684,2
44,0.100000,0.000000,0.792501,18,2,0,0,679,2
45,0.100000,0.001301,0.808119,18,2,0,0,674,2
46,0.100000,0.002498,0.821028,18,2,0,0,667,2
47,0.100000,0.003599,0.823293,17,3,0,0,661,2
48,0.100000,0.004612,0.828134,17,3,0,0,656,2
49,0.100000,0.007460,0.816537,17,3,0,0,648,3
50,0.100000,0.010081,0.808999,17,3,0,0,647,3
51,0.100000,0.016156,0.797974,17,3,0,0,641,4
52,0.100000,0.023497,0.790808,17,3,0,0,636,4
53,0.100000,0.030251,0.792275,17,3,0,0,629,4
54,0.100000,0.036465,0.807973,17,3,0,0,626,4
55,0.100000,0.042181,0.820932,17,3,0,0,620,4
56,0.100000,0.047441,0.826600,17,3,0,0,616,4
57,0.100000,0.052279,0.815540,17,3,0,0,611,4
58,0.100000,0.056730,0.805595,16,4,0,0,601,4
59,0.100000,0.060826,0.795762,16,4,0,0,595,4
60,0.100000,0.064593,0.792739,16,4,0,0,588,4
61,0.100000,0.068059,0.787405,16,4,0,0,582,4
62,0.100000,0.071248,0.787307,16,4,0,0,579,4
63,0.100000,0.075882,0.783875,16,4,0,0,571,4
64,0.100000,0.080145,0.785012,15,5,0,0,565,4
65,0.100000,0.084067,0.783302,15,4,1,0,560,4
66,0.100000,0.087675,0.782190,15,4,1,0,556,4
67,0.100000,0.090994,0.770092,15,4,1,0,551,4
68,0.100000,0.094048,0.748097,15,4,1,0,545,4
69,0.100000,0.096858,0.730432,15,4,1,0,538,4
70,0.100000,0.101092,0.729187,15,4,1,0,536,4
71,0.100000,0.104988,0.721640,15,4,1,0,531,4
72,0.100000,0.108572,0.716735,15,4,1,0,523,4
73,0.100000,0.111869,0.752834,15,3,2,0,515,4
74,0.100000,0.114903,0.772930,15,3,2,0,510,4
75,0.100000,0.117694,0.785992,15,3,2,0,503,4
76,0.100000,0.120261,0.797851,15,3,2,0,495,4
77,0.100000,0.122623,0.802191,15,3,2,0,490,4
78,0.100000,0.124796,0.808380,15,3,2,0,485,4
79,0.100000,0.126796,0.809035,15,3,2,0,480,4
80,0.100000,0.128635,0.801454,15,3,2,0,477,4
81,0.100000,0.130327,0.793157,15,3,2,0,475,4
82,0.100000,0.131884,0.764140,15,3,2,0,470,4
83,0.100000,0.133316,0.745278,15,3,2,0,465,4
84,0.100000,0.134634,0.739143,15,3,2,0,458,4
85,0.100000,0.135846,0.732399,15,3,2,0,455,4
86,0.189659,0.138563,0.747353,15,3,1,1,449,4
87,0.186969,0.141061,0.733448,15,3,1,1,443,4
88,0.184360,0.143360,0.724410,15,3,1,1,436,4
89,0.181830,0.145475,0.718535,15,3,1,1,432,4
90,0.179375,0.147421,0.741842,14,4,1,1,427,4
91,0.176993,0.149211,0.755241,14,4,1,1,426,4
92,0.174684,0.150858,0.748200,14,4,1,1,418,4
93,0.172443,0.152373,0.770749,14,4,1,1,415,4
94,0.259929,0.153767,0.784487,14,4,0,2,413,4
95,0.255131,0.156603,0.764541,14,4,0,2,411,4
96,0.250477,0.159212,0.748821,13,5,0,2,405,4
97,0.245963,0.161613,0.735233,12,6,0,2,399,4
98,0.241584,0.163821,0.726402,12,6,0,2,398,4
99,0.237337,0.165853,0.712786,11,7,0,2,396,4
100,0.233216,0.167722,0.707305,11,7,0,2,390,4
101,0.229220,0.169441,0.700373,11,7,0,2,384,4
102,0.225343,0.171023,0.699236,11,7,0,2,379,4
103,0.221583,0.172479,0.695129,11,7,0,2,374,4
104,0.217936,0.173818,0.695827,11,7,0,2,367,4
105,0.214398,0.175050,0.692913,11,7,0,2,364,4
106,0.210966,0.176183,0.694387,11,7,0,2,358,4
107,0.207637,0.177226,0.691977,11,7,0,2,356,4
108,0.204408,0.178185,0.690410,11,7,0,2,354,4
109,0.201275,0.179068,0.692760,11,7,0,2,353,4
110,0.198237,0.179880,0.690919,11,7,0,2,350,4
111,0.195290,0.180626,0.689722,11,7,0,2,348,4
112,0.192431,0.181314,0.692313,11,7,0,2,346,4
113,0.189658,0.181946,0.693997,11,7,0,2,344,4
114,0.186969,0.182528,0.699598,12,6,0,2,341,4
115,0.184359,0.183063,0.706608,12,6,0,2,338,4
116,0.181829,0.183555,0.707795,12,6,0,2,336,4
117,0.179374,0.184008,0.708567,12,6,0,2,332,4
118,0.176993,0.184425,0.709068,12,6,0,2,330,4
119,0.174683,0.184808,0.709394,12,6,0,2,328,4
120,0.172442,0.185161,0.709606,12,6,0,2,326,4
121,0.170269,0.185485,0.713113,12,6,0,2,324,4
122,0.168161,0.185784,0.712023,12,6,0,2,323,4
123,0.166116,0.186058,0.714684,12,6,0,2,323,4
124,0.164133,0.186311,0.713045,12,6,0,2,322,4
125,0.162209,0.186543,0.711979,12,6,0,2,317,4
126,0.160342,0.186757,0.711286,12,6,0,2,315,4
127,0.158532,0.186954,0.710836,12,6,0,2,309,4
128,0.156776,0.187135,0.713912,12,6,0,2,308,4
129,0.155073,0.187302,0.712543,12,6,0,2,307,4
130,0.153421,0.187455,0.711653,12,6,0,2,305,4
131,0.151818,0.187596,0.714443,12,6,0,2,304,4
132,0.150264,0.187725,0.712888,12,6,0,2,303,4
133,0.148756,0.187845,0.715246,12,6,0,2,300,4
134,0.147293,0.187954,0.723035,12,6,0,2,299,4
135,0.145874,0.188055,0.728098,12,6,0,2,295,4
136,0.144498,0.188148,0.731388,12,6,0,2,293,4
137,0.143163,0.188234,0.733528,12,6,0,2,292,4
138,0.141868,0.188312,0.734918,12,6,0,2,292,4
139,0.140612,0.188385,0.735822,12,6,0,2,290,4
140,0.139394,0.188451,0.736409,12,6,0,2,288,4
141,0.138212,0.188513,0.736791,12,6,0,2,286,4
142,0.137066,0.188569,0.737039,12,6,0,2,281,4
143,0.135954,0.188621,0.737200,12,6,0,2,277,4
144,0.134875,0.188668,0.737305,12,6,0,2,276,4
145,0.133829,0.188712,0.737373,12,6,0,2,276,4
146,0.132814,0.188753,0.737418,12,6,0,2,273,4
147,0.131829,0.188790,0.737447,12,6,0,2,273,4
148,0.130875,0.188824,0.737465,12,6,0,2,271,4
149,0.129948,0.188855,0.737477,12,6,0,2,271,4
150,0.129050,0.188884,0.737485,12,6,0,2,269,4
151,0.128178,0.188911,0.747115,12,6,0,2,267,4
152,0.127333,0.188935,0.753375,12,6,0,2,265,4
153,0.126513,0.188958,0.757444,12,6,0,2,264,4
154,0.125718,0.188978,0.760088,12,6,0,2,263,4
155,0.124946,0.188998,0.745926,12,6,0,2,262,4
156,0.124198,0.189015,0.742977,12,6,0,2,262,4
157,0.123472,0.189031,0.741060,12,6,0,2,262,4
158,0.122768,0.189046,0.739814,12,6,0,2,262,4
159,0.122085,0.189060,0.748629,12,6,0,2,260,4
160,0.121422,0.189072,0.754359,12,6,0,2,260,4
161,0.120779,0.189084,0.758083,12,6,0,2,260,4
162,0.120156,0.189094,0.760504,12,6,0,2,258,4
163,0.119551,0.189104,0.762078,12,6,0,2,258,4
164,0.118965,0.189113,0.763101,12,6,0,2,258,4
165,0.118396,0.189121,0.763765,12,6,0,2,257,4
166,0.117844,0.189129,0.764197,12,6,0,2,255,4
167,0.117309,0.189136,0.764478,12,6,0,2,254,4
168,0.116789,0.189143,0.764661,12,6,0,2,254,4
169,0.116286,0.189148,0.764780,12,6,0,2,253,4
170,0.115797,0.189154,0.764857,12,6,0,2,253,4
171,0.115323,0.189159,0.764907,12,6,0,2,252,4
172,0.114864,0.189164,0.764939,12,6,0,2,247,4
173,0.114418,0.189168,0.764961,12,6,0,2,245,4
174,0.113985,0.189172,0.764974,12,6,0,2,244,4
175,0.113566,0.189175,0.764983,12,6,0,2,243,4
176,0.113159,0.189179,0.764989,12,6,0,2,242,4
177,0.112764,0.189182,0.764993,12,6,0,2,242,4
178,0.112381,0.189184,0.764995,12,6,0,2,241,4
179,0.112009,0.189187,0.764997,12,6,0,2,241,4
180,0.111649,0.189189,0.764998,12,6,0,2,241,4
181,0.111300,0.189192,0.764999,12,6,0,2,240,4
182,0.110961,0.189194,0.764999,12,6,0,2,238,4
183,0.110632,0.189195,0.764999,12,6,0,2,238,4
184,0.110313,0.189197,0.765000,12,6,0,2,235,4
185,0.110004,0.189199,0.765000,12,6,0,2,235,4
186,0.109703,0.189200,0.772875,13,5,0,2,233,4
187,0.109412,0.189201,0.777994,13,5,0,2,233,4
188,0.109130,0.189203,0.781321,13,5,0,2,232,4
189,0.108856,0.189204,0.783484,13,5,0,2,232,4
190,0.108590,0.189205,0.784889,13,5,0,2,231,4
191,0.108333,0.189206,0.793678,14,4,0,2,231,4
192,0.108083,0.189207,0.799391,14,4,0,2,230,4
193,0.107840,0.189207,0.803104,14,4,0,2,228,4
194,0.107605,0.189208,0.805518,14,4,0,2,227,4
195,0.107377,0.189209,0.807086,14,4,0,2,227,4
196,0.107156,0.189209,0.808106,14,4,0,2,226,4
